Designator,Mid X,Mid Y,Layer,Rotation
R51,32.770000,59.680000,top,-90.000000
R52,59.290000,8.400000,top,0.000000
R53,57.980000,6.140000,top,180.000000
R54,65.374000,17.516000,top,0.000000
SW1,73.240000,26.910000,top,0.000000
SW2,63.342000,34.534000,top,90.000000
U1,75.210000,20.060000,top,90.000000
U2,55.175000,94.080000,top,180.000000
U3,48.848750,34.710000,top,180.000000
U4,27.110000,68.810000,top,0.000000
U5,48.642500,29.070000,top,180.000000
U6,45.610000,59.275000,top,180.000000
U9,67.410000,14.370000,top,180.000000
